A_MARITL,A_SEX,PEAFEVER,PARENT,PENATVTY,PEFNTVTY,PEHSPNON,PEINUSYR,PEPAR1TYP,PRCITSHP,PRDTRACE,ERN_SRCE,WSAL_VAL,ANN_VAL,A_HGA
7,1,2,0,57,57,2,0,-1,1,1,1,44200,0,41
1,1,2,0,57,57,2,0,-1,1,1,2,0,0,39
1,2,2,0,57,57,2,0,-1,1,1,1,48000,0,43
1,1,2,0,57,57,2,0,-1,1,1,1,40000,0,40
1,2,2,0,57,57,2,0,-1,1,3,1,20000,0,40
1,2,2,0,57,57,2,0,-1,1,1,1,90000,0,44
1,1,2,0,57,57,2,0,-1,1,1,1,30000,0,42
7,2,-1,1,57,57,2,0,1,1,1,0,0,0,0
7,2,-1,1,57,57,2,0,1,1,1,0,0,0,0
7,1,-1,1,57,57,2,0,1,1,1,0,0,0,0
1,2,2,0,57,57,2,0,-1,1,1,0,0,0,39
1,1,2,0,301,301,2,4,-1,4,1,0,0,0,33
4,2,2,0,57,57,2,0,-1,1,1,0,0,0,39
4,2,2,0,57,57,2,0,-1,1,1,0,0,0,39
4,2,2,0,57,57,2,0,-1,1,1,0,0,0,39
1,1,1,0,57,57,2,0,-1,1,1,1,43000,0,40
1,2,2,0,57,57,2,0,-1,1,1,1,20000,0,41
7,1,-1,1,57,57,2,0,2,1,3,0,0,0,0
7,1,-1,1,57,57,2,0,1,1,7,0,0,0,0
1,1,2,0,57,301,2,0,-1,1,1,0,0,0,39
1,2,2,0,301,301,2,3,-1,5,1,1,30000,0,39
4,2,2,0,57,57,2,0,-1,1,1,0,0,0,39
4,1,2,0,57,57,2,0,-1,1,1,0,0,0,39
7,1,2,0,57,57,2,0,-1,1,1,1,200000,0,43
7,2,2,0,57,57,2,0,-1,1,1,1,72000,0,43
1,2,2,0,57,57,2,0,-1,1,1,1,1000,0,34
1,1,2,0,57,57,2,0,-1,1,1,1,112000,0,34
7,1,-1,1,57,57,2,0,1,1,1,0,0,0,0
7,1,-1,1,57,57,2,0,1,1,1,0,0,0,0
7,2,-1,1,57,57,2,0,1,1,1,0,0,0,0
7,1,2,0,57,57,2,0,-1,1,7,1,15000,0,37
1,1,2,0,57,57,2,0,-1,1,1,1,37000,0,40
1,2,2,0,57,57,2,0,-1,1,1,1,41000,0,43
7,2,-1,1,57,57,2,0,1,1,1,0,0,0,0
7,1,-1,1,57,57,2,0,1,1,1,0,0,0,0
